country,state,year,percentage_of_households_with_source_of_drinking_water_uompercentage_scaling_factor1,revenue_earned_uominrindianrupees_scaling_factor10000000,annual_urban_population_at_mid_year_uomnumber_scaling_factor1000,weighted_average_own_revenue_uominrindianrupees_scaling_factor10000000,revenue_uominrindianrupees_scaling_factor10000000,percentage_of_households_uompercentage_scaling_factor1
IND,Manipur,2001,59.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,62.17
IND,Manipur,2002,60.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.7
IND,Manipur,2008,60.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.7
IND,Manipur,2011,60.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,63.38
IND,Manipur,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.48
IND,Manipur,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Manipur,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.48
IND,Meghalaya,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Meghalaya,2001,73.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,60.88
IND,Meghalaya,2002,79.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.51
IND,Meghalaya,2008,79.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.51
IND,Meghalaya,2011,79.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,69.53
IND,Meghalaya,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.74
IND,Meghalaya,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
IND,Meghalaya,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.74
