State,District,predicted_risk
Uttar Pradesh,Shahjahanpur,0.048979156
Uttar Pradesh,Shrawasti,0.0682717
Uttar Pradesh,Siddharth Nagar,0.06929922
Uttar Pradesh,Sitapur,0.060593255
Uttar Pradesh,Sonbhadra,0.057814445
Uttar Pradesh,Sultanpur,0.057487004
Uttar Pradesh,Unnao,0.049268145
Uttar Pradesh,Varanasi,0.047480844
Uttarakhand,Almora,0.069244795
Uttarakhand,Chamoli,0.07945101
Uttarakhand,Champawat,0.05176742
Uttarakhand,Dehradun,0.061643157
Uttarakhand,Haridwar,0.059284084
Uttarakhand,Nainital,0.060293373
Uttarakhand,Pauri Garhwal,0.07272854
Uttarakhand,Pithoragarh,0.06391155
Uttarakhand,Rudra Prayag,0.08315116
Uttarakhand,Tehri Garhwal,0.079401284
Uttarakhand,Udam Singh Nagar,0.052149374
Uttarakhand,Uttar Kashi,0.0691431
West Bengal,Bankura,0.06898196
West Bengal,Birbhum,0.08198643
West Bengal,Coochbehar,0.083414465
West Bengal,Dakshin Dinajpur,0.07225942
West Bengal,Darjeeling,0.07799404
West Bengal,Hooghly,0.10365715
West Bengal,Howrah,0.116490304
West Bengal,Jalpaiguri,0.06616028
West Bengal,Malda,0.0842139
West Bengal,Murshidabad,0.07696442
West Bengal,Nadia,0.08276204
West Bengal,North 24 Parganas,0.10496187
West Bengal,Paschim Medinipur,0.09170047
West Bengal,Purba Bardhaman,0.0884828
West Bengal,Purulia,0.05416461
West Bengal,South 24 Parganas,0.08089924
West Bengal,Uttar Dinajpur,0.07343379
