State,District,Year,Month,predicted_risk
Andhra Pradesh,East Godavari,2020,5,0.03767327
Andhra Pradesh,East Godavari,2020,5,0.03767327
Andhra Pradesh,East Godavari,2020,5,0.03767327
Andhra Pradesh,East Godavari,2020,5,0.03767327
Andhra Pradesh,East Godavari,2020,6,0.03670815
Andhra Pradesh,East Godavari,2020,6,0.038011916
Andhra Pradesh,East Godavari,2020,6,0.03476833
Andhra Pradesh,East Godavari,2020,6,0.035414375
Andhra Pradesh,East Godavari,2020,6,0.037520383
Andhra Pradesh,East Godavari,2020,6,0.036753654
Andhra Pradesh,East Godavari,2020,6,0.03584828
Andhra Pradesh,East Godavari,2020,6,0.035618436
Andhra Pradesh,East Godavari,2020,6,0.035511497
Andhra Pradesh,East Godavari,2020,7,0.032727513
Andhra Pradesh,East Godavari,2020,7,0.037573952
Andhra Pradesh,East Godavari,2020,7,0.038687643
Andhra Pradesh,East Godavari,2020,7,0.040754106
Andhra Pradesh,East Godavari,2020,7,0.040027525
Andhra Pradesh,East Godavari,2020,7,0.040078703
Andhra Pradesh,East Godavari,2020,7,0.037643444
Andhra Pradesh,East Godavari,2020,7,0.037643444
Andhra Pradesh,East Godavari,2020,7,0.037643444
Andhra Pradesh,East Godavari,2020,8,0.042263433
Andhra Pradesh,East Godavari,2020,8,0.049411394
Andhra Pradesh,East Godavari,2020,8,0.04978091
Andhra Pradesh,East Godavari,2020,8,0.046463203
Andhra Pradesh,East Godavari,2020,8,0.046241574
Andhra Pradesh,East Godavari,2020,8,0.045706503
Andhra Pradesh,East Godavari,2020,8,0.03909827
Andhra Pradesh,East Godavari,2020,8,0.03830702
Andhra Pradesh,East Godavari,2020,8,0.03830702
Andhra Pradesh,East Godavari,2020,9,0.040338185
Andhra Pradesh,East Godavari,2020,9,0.042756755
Andhra Pradesh,East Godavari,2020,9,0.03447098
Andhra Pradesh,East Godavari,2020,9,0.03128748
Andhra Pradesh,East Godavari,2020,9,0.03172283
Andhra Pradesh,East Godavari,2020,9,0.03207111
Andhra Pradesh,East Godavari,2020,9,0.034938943
Andhra Pradesh,East Godavari,2020,9,0.034938943
Andhra Pradesh,East Godavari,2020,9,0.03454319
Andhra Pradesh,East Godavari,2020,10,0.03980525
Andhra Pradesh,East Godavari,2020,10,0.041545495
Andhra Pradesh,East Godavari,2020,10,0.043829396
Andhra Pradesh,East Godavari,2020,10,0.04638776
Andhra Pradesh,East Godavari,2020,10,0.04638776
Andhra Pradesh,East Godavari,2020,10,0.04638776
Andhra Pradesh,East Godavari,2020,10,0.045403853
Andhra Pradesh,East Godavari,2020,10,0.045403853
Andhra Pradesh,East Godavari,2020,10,0.045403853
Andhra Pradesh,East Godavari,2020,11,0.07096121
