Country,State,Year,Additional Info,"Percentage Of Households With Source Of Drinking Water (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Electricity (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Septic Tank Or Flush (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With No Latrine (UOM:%(Percentage)), Scaling Factor:1"
India,Maharashtra,"Financial Year (Apr - Mar), 2001",,95.4,,,
India,Manipur,"Financial Year (Apr - Mar), 2001",,59.4,,,
India,Meghalaya,"Financial Year (Apr - Mar), 2001",,73.5,,,
India,Mizoram,"Financial Year (Apr - Mar), 2001",,47.8,,,
India,Nagaland,"Financial Year (Apr - Mar), 2001",,42.3,,,
India,Odisha,"Financial Year (Apr - Mar), 2001",,72.3,,,
India,Puducherry,"Financial Year (Apr - Mar), 2001",,95.5,,,
India,Punjab,"Financial Year (Apr - Mar), 2001",,98.9,,,
India,Rajasthan,"Financial Year (Apr - Mar), 2001",,93.5,,,
India,Sikkim,"Financial Year (Apr - Mar), 2001",,97.1,,,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2001",,85.9,,,
India,Telangana,"Financial Year (Apr - Mar), 2001",,90.2,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2001",,97.899016234009126954444,,,
India,Tripura,"Financial Year (Apr - Mar), 2001",,85.8,,,
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2001",,97.2,,,
India,Uttarakhand,"Financial Year (Apr - Mar), 2001",,97.8,,,
India,West Bengal,"Financial Year (Apr - Mar), 2001",,92.3,,,
