Country,State,Year,Additional Information,"Number Of Crimes Or Atrocities (UOM:Number), Scaling Factor:1","Rate Of Total Crime Against Scheduled Tribes(Sts) (UOM:Ratio), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Number Of Population (UOM:Number), Scaling Factor:100000","Total Rate Of Cognizable Crimes (UOM:Ratio), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2014",,6.0,,,0.3,21.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2014",,390.0,,,26.3,15.4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2014",,0.0,,,9.5,0.1
India,Assam,"Calendar Year (Jan - Dec), 2014",,1.0,,,38.8,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2014",,77.0,,,13.4,1.9
India,Chandigarh,"Calendar Year (Jan - Dec), 2014",,0.0,,,0.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2014",,475.0,,,78.2,5.1
India,Delhi,"Calendar Year (Jan - Dec), 2014",,2.0,,,0.0,0.0
India,Goa,"Calendar Year (Jan - Dec), 2014",,6.0,,,1.5,7.4
India,Gujarat,"Calendar Year (Jan - Dec), 2014",,223.0,,,89.2,3.2
India,Haryana,"Calendar Year (Jan - Dec), 2014",,0.0,,,0.0,0.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2014",,3.0,,,3.9,0.5
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2014",,0.0,,,14.9,0.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2014",,402.0,,,86.5,3.2
India,Karnataka,"Calendar Year (Jan - Dec), 2014",,397.0,,,42.5,8.8
India,Kerala,"Calendar Year (Jan - Dec), 2014",,120.0,,,4.8,37.5
India,Lakshadweep,"Calendar Year (Jan - Dec), 2014",,0.0,,,0.6,1.6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2014",,1577.0,,,153.2,11.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",,443.0,,,105.1,3.8
India,Manipur,"Calendar Year (Jan - Dec), 2014",,1.0,,,9.0,0.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2014",,1.0,,,25.6,0.0
India,Mizoram,"Calendar Year (Jan - Dec), 2014",,1.0,,,10.4,0.0
India,Nagaland,"Calendar Year (Jan - Dec), 2014",,0.0,,,17.1,0.0
India,Odisha,"Calendar Year (Jan - Dec), 2014",,533.0,,,95.9,7.1
India,Puducherry,"Calendar Year (Jan - Dec), 2014",,1.0,,,0.0,0.0
India,Punjab,"Calendar Year (Jan - Dec), 2014",,0.0,,,0.0,0.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2014",,1681.0,,,92.4,12.9
India,Sikkim,"Calendar Year (Jan - Dec), 2014",,1.0,,,2.1,0.0
