Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",,1913.19670889284925817984,393.89344006617484727232,2307.09014895902410545216,81.299137108896504935522,16.4,34.700136386782069878752,7,23.5,11.4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2013",,0,1,1,,,9.5,68.8,,0.1
India,Assam,"Calendar Year (Jan - Dec), 2013",,8,0,8,22.3,7.2,38.8,12.4,0.4,
India,Bihar,"Calendar Year (Jan - Dec), 2013",,6721,91,6812,165.6,15.9,13.3,1.3,40.6,6.8
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",,4,0,4,1.9,18.9,,,2.1,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",,242,331,573,32.7,12.8,78.2,30.6,7.4,4.2
India,Delhi,"Calendar Year (Jan - Dec), 2013",,52,0,52,28.1,16.8,,,1.9,
India,Goa,"Calendar Year (Jan - Dec), 2013",,11,9,20,0.25,1.7,1.4,10.2,44,6.4
India,Gujarat,"Calendar Year (Jan - Dec), 2013",,1190,224,1414,40.7,6.7,89.1,14.8,29.2,2.5
India,Haryana,"Calendar Year (Jan - Dec), 2013",,493,0,493,51.1,20.2,,,9.6,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",,144,2,146,17.2,25.2,3.9,5.7,8.4,0.5
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2013","PoA Act, 1989 does not extend in the State",,,,8.998767112451108421720,7.4,14.574090214730599509090,11.9,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",,978,396,1378,39.8,12.1,86.4,26.2,24.6,4.6
India,Karnataka,"Calendar Year (Jan - Dec), 2013",,2555,521,3076,1047,17.1,42.4,7,24.4,12.3
India,Kerala,"Calendar Year (Jan - Dec), 2013",,756,135,891,30.3,9.1,4.8,1.5,25,28.1
India,Ladakh,"Calendar Year (Jan - Dec), 2013","PoA Act, 1989 does not extend in the State",,,,0.201232887548891578280,7.4,0.325909785269400490910,11.9,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",,0,0,0,,,0.61,94.8,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",,2945,1296,4241,113.4,15.6,153.2,21.1,26,8.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",,1657,407,2064,132.7,11.8,105.1,9.4,12.5,3.9
India,Manipur,"Calendar Year (Jan - Dec), 2013",,1,2,3,0.97,3.8,9,35.1,1,0.2
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",,0,0,0,0.17,0.6,25.5,86.1,,
India,Mizoram,"Calendar Year (Jan - Dec), 2013",,0,0,0,0.1,0.1,10.3,94.4,,
India,Nagaland,"Calendar Year (Jan - Dec), 2013",,0,18,18,,,17.1,86.5,,1.1
India,Odisha,"Calendar Year (Jan - Dec), 2013",,2592,790,3382,71.8,17.1,95.9,22.8,36.1,8.2
India,Puducherry,"Calendar Year (Jan - Dec), 2013",,6,0,6,1.9,15.7,,,3.2,
India,Punjab,"Calendar Year (Jan - Dec), 2013",,126,0,126,88.6,31.9,,,1.4,
India,Rajasthan,"Calendar Year (Jan - Dec), 2013",,6475,1651,8126,122.2,17.8,92.3,13.5,53,17.9
